idx,random_idx0,random_idx1,random_idx2,random_idx3,random_idx4,random_idx5,random_idx6,random_idx7,random_idx8,random_idx9
0,149,426,151,237,343,397,655,34,872,963
1,436,30,215,69,426,954,861,188,166,373
2,1025,960,408,191,397,760,41,525,383,25
3,219,716,601,501,418,199,54,204,692,1054
4,611,1008,385,644,395,500,76,653,460,137
5,828,1055,785,969,169,195,125,555,313,996
6,157,243,299,11,623,476,906,842,864,357
7,505,44,26,358,407,833,9,538,856,862
8,999,810,703,1040,100,342,83,920,267,136
9,711,893,457,335,185,581,184,274,976,90
10,7,96,726,730,712,852,75,43,189,416
11,442,390,530,599,477,130,494,839,146,26
12,639,162,412,206,135,98,254,768,618,154
13,485,492,403,627,1009,790,857,106,388,269
14,197,458,820,444,70,909,532,441,998,601
15,697,917,590,73,656,877,218,800,961,317
16,605,56,670,16,554,328,253,489,372,869
17,1024,949,219,331,75,312,1055,135,827,334
18,14,1002,377,798,88,980,332,585,19,767
19,701,82,516,348,598,734,608,542,500,453
20,438,268,148,115,116,62,279,759,449,974
21,303,284,274,51,639,443,81,672,675,168
22,34,941,127,214,751,383,738,164,389,632
23,965,1018,269,116,493,915,425,892,469,978
24,88,835,486,193,907,655,438,966,209,362
25,712,408,504,35,67,788,392,216,211,532
26,748,62,514,476,182,499,174,554,519,754
27,450,466,685,500,844,615,493,882,418,666
28,169,92,898,353,339,168,354,205,1020,248
29,369,26,349,950,515,1044,913,560,862,854
30,23,496,577,885,311,791,146,985,430,9
31,338,410,129,162,885,204,812,523,873,121
32,780,1043,1025,135,867,172,240,518,513,173
33,286,787,250,268,377,748,989,45,951,83
34,753,449,247,203,932,323,144,943,613,229
35,430,923,877,440,80,502,732,505,526,850
36,43,123,80,718,857,440,800,691,1019,773
37,672,251,496,995,258,487,32,718,396,1055
38,523,242,309,649,326,659,304,1049,136,451
39,830,275,241,158,536,662,99,725,721,701
40,550,871,795,360,14,727,615,831,349,5
41,991,754,318,987,490,856,468,847,591,776
42,813,441,800,629,159,24,510,390,674,106
43,911,1,1031,175,766,912,547,226,323,181
44,579,103,860,534,250,931,805,871,265,398
45,113,173,968,848,323,708,1013,16,830,1047
46,93,861,809,264,930,751,947,721,1048,389
47,390,631,817,732,734,1004,910,253,445,896
48,112,769,822,432,746,550,299,299,116,198
49,950,246,581,168,828,753,701,1005,579,524
50,995,1054,870,338,291,156,43,420,842,1035
51,555,528,646,275,335,771,557,568,504,861
52,220,303,463,487,109,922,1023,637,257,336
53,210,482,815,139,691,60,311,793,797,822
54,927,582,234,598,759,870,244,364,337,385
55,294,616,18,111,697,137,888,39,661,991
56,264,317,283,39,348,773,878,145,421,712
57,618,1047,501,405,1040,1011,831,589,635,454
58,163,199,266,5,206,1002,415,317,127,489
59,667,830,11,748,274,16,743,830,360,422
60,966,413,614,698,487,750,815,804,414,803
61,820,583,291,455,445,116,10,708,330,315
62,932,293,681,164,437,522,64,807,759,586
63,6,649,35,445,496,535,352,574,348,127
64,772,447,788,216,765,543,1026,524,343,541
65,765,545,769,34,774,975,235,310,988,111
66,325,991,74,113,963,959,515,591,903,195
67,848,624,858,648,912,1010,606,208,858,743
68,378,437,238,641,574,244,366,336,180,36
69,536,936,612,344,699,200,74,320,215,220
70,357,1040,942,29,21,567,256,332,888,1021
71,256,609,130,541,57,20,650,239,984,500
72,270,663,220,565,760,343,410,139,198,860
73,740,974,1006,474,583,742,899,937,794,949
74,32,753,579,948,542,952,822,61,356,1031
75,621,1019,660,519,265,151,162,418,954,888
76,512,853,894,427,594,1053,139,470,810,431
77,668,911,485,315,257,849,411,662,698,936
78,516,305,584,991,854,834,164,857,121,534
79,857,868,1021,1032,571,139,506,616,235,433
80,1053,979,618,602,1025,1055,795,416,91,224
81,895,424,49,189,898,320,922,934,181,1043
82,1037,1010,561,1030,723,746,877,620,565,394
83,875,913,418,71,363,1025,118,786,604,84
84,313,487,1045,25,864,635,794,742,95,170
85,670,411,961,976,62,953,122,1003,910,892
86,590,164,923,1015,922,361,758,812,497,972
87,406,1050,197,92,48,324,775,986,0,599
88,205,167,213,701,376,429,508,424,94,801
89,854,236,350,435,909,701,912,181,1042,662
90,154,283,292,256,561,218,1051,399,595,962
91,221,262,506,815,110,72,966,376,555,968
92,49,494,723,42,654,715,248,948,892,435
93,72,443,893,49,622,903,841,520,552,646
94,709,823,855,129,443,205,474,454,807,299
95,829,84,592,742,228,375,518,459,1033,184
96,769,375,529,573,462,831,353,557,384,618
97,200,290,655,473,425,681,5,836,64,351
98,370,358,566,270,63,1047,611,83,627,232
99,778,1015,932,550,495,290,457,97,1051,551
100,821,956,869,735,503,624,471,62,446,709
101,923,49,307,488,177,138,565,668,115,498
102,332,281,722,687,631,561,348,880,38,209
103,262,914,951,539,32,677,102,392,729,624
104,443,1013,367,738,671,207,445,1025,686,951
105,665,812,865,1045,560,405,336,861,491,828
106,402,356,910,346,346,158,33,180,764,1000
107,125,198,694,493,314,950,267,996,902,887
108,978,349,149,79,319,884,277,64,331,677
109,304,641,327,126,1043,830,136,367,620,104
110,336,484,1011,754,1041,279,975,311,408,190
111,977,1030,1016,105,263,489,1044,819,335,91
112,5,91,1017,769,433,861,112,609,28,895
113,365,330,156,737,507,639,436,642,952,846
114,185,680,414,368,993,840,97,373,947,772
115,109,485,471,1013,737,355,318,401,401,514
116,519,172,553,857,861,76,712,508,117,840
117,153,134,948,132,970,737,926,212,638,670
118,1047,101,556,238,1019,577,1040,261,287,165
119,526,387,366,12,967,782,865,1040,576,20
120,825,792,290,345,427,741,166,894,258,189
121,514,619,791,940,1007,513,717,102,761,1036
122,193,556,401,60,357,778,666,870,282,583
123,786,439,659,248,430,832,938,813,380,56
124,963,118,999,321,403,264,12,998,22,82
125,455,440,505,643,703,647,123,295,184,221
126,834,132,15,970,28,516,548,717,204,123
127,274,879,1047,312,1027,291,896,334,427,286
128,782,920,921,15,767,583,419,546,778,510
129,568,298,210,194,680,961,65,949,652,466
130,82,15,166,773,375,292,50,748,901,307
131,96,784,806,56,362,469,319,324,276,611
132,871,950,696,223,94,608,236,447,291,681
133,929,183,665,697,284,223,179,704,1044,326
134,878,730,615,157,20,947,936,784,751,383
135,791,398,139,873,686,430,745,289,934,420
136,83,498,972,716,324,176,327,115,402,217
137,919,239,560,96,637,756,1034,452,246,785
138,172,310,107,183,249,745,26,346,407,1037
139,182,778,629,997,248,538,480,658,727,784
140,802,909,339,612,717,224,572,618,306,849
141,558,16,909,1019,649,198,36,673,44,714
142,330,197,281,1022,652,105,523,409,933,656
143,373,962,933,199,946,1008,781,684,60,291
144,340,1035,243,169,911,335,38,664,420,167
145,46,0,814,631,749,497,610,1050,919,945
146,376,477,384,221,475,28,522,225,1053,455
147,767,21,965,134,456,309,347,707,581,428
148,440,843,85,853,460,161,186,52,533,258
149,530,1005,380,524,453,988,739,700,993,270
150,1,515,39,846,706,331,930,187,299,71
151,292,533,14,947,513,1045,367,537,880,129
152,547,869,397,516,201,970,60,11,593,689
153,309,758,45,222,926,262,778,375,607,281
154,217,776,912,961,541,613,1052,477,866,259
155,408,151,1033,413,56,845,181,675,808,603
156,973,250,472,456,784,755,408,423,125,977
157,473,795,1010,862,727,556,1042,876,939,103
158,391,967,97,467,824,537,722,241,385,1004
159,339,145,371,921,1001,376,475,8,685,605
160,722,313,1022,714,97,518,985,628,150,748
161,381,159,936,31,98,948,418,739,1034,844
162,1026,74,548,24,197,939,612,88,986,757
163,91,669,619,807,44,267,140,314,354,747
164,25,695,28,329,595,174,771,184,916,826
165,311,996,328,520,692,929,689,111,269,146
166,66,929,510,854,483,350,487,930,938,957
167,252,274,443,124,152,234,177,902,814,775
168,696,325,204,650,205,431,405,713,365,938
