idx,random_idx0
0,149
1,887
2,1021
3,219
4,539
5,826
6,157
7,503
8,597
9,709
10,7
11,441
12,799
13,1011
14,197
15,940
16,603
17,1020
18,14
19,699
20,811
21,303
22,34
23,961
24,88
25,927
26,689
27,581
28,169
29,852
30,23
31,338
32,874
33,286
34,875
35,636
36,43
37,545
38,751
39,692
40,998
41,856
42,436
43,908
44,578
45,113
46,93
47,389
48,112
49,946
50,979
51,554
52,220
53,210
54,923
55,294
56,264
57,857
58,163
59,827
60,911
61,624
62,928
63,6
64,629
65,506
66,325
67,869
68,780
69,753
70,356
71,256
72,270
73,783
74,32
75,438
76,510
77,404
78,515
79,855
80,1051
81,962
82,1035
83,872
84,313
85,668
86,972
87,488
88,205
89,1044
90,154
91,221
92,49
93,72
94,891
95,919
96,528
97,200
98,369
99,770
100,999
101,505
102,332
103,262
104,442
105,663
106,931
107,125
108,892
109,304
110,336
111,973
112,5
113,364
114,185
115,109
116,726
117,153
118,361
119,914
120,823
121,513
122,193
123,1003
124,959
125,577
126,1047
127,274
128,579
129,567
130,82
131,96
132,406
133,370
134,846
135,789
136,83
137,915
138,172
139,182
140,800
141,877
142,330
143,555
144,340
145,46
146,375
147,765
148,433
149,529
150,1
151,292
152,571
153,309
154,217
155,868
156,969
157,1026
158,390
159,339
160,1007
161,1037
162,1024
163,91
164,25
165,311
166,66
167,252
168,694
169,519
170,736
171,1015
172,236
173,151
174,944
175,107
176,170
177,598
178,1018
179,50
180,454
181,828
182,448
183,766
184,357
185,777
186,752
187,739
188,665
189,778
190,214
191,289
192,206
193,22
194,696
195,566
196,523
197,613
198,639
199,187
200,975
201,786
202,460
203,204
204,255
205,903
206,458
207,511
208,45
209,725
210,690
211,222
212,807
213,851
214,798
215,712
216,344
217,1052
218,734
219,741
220,326
221,1045
222,531
223,117
224,958
225,642
226,772
227,365
228,426
229,388
230,516
231,465
232,794
233,1038
234,272
235,749
236,608
237,791
238,462
239,290
240,143
241,953
242,1014
243,925
244,300
245,655
246,184
247,858
248,402
249,864
250,137
251,882
252,282
253,190
254,621
255,602
256,677
257,492
258,307
259,376
260,966
261,17
262,661
263,104
264,381
265,1022
266,562
267,744
268,346
269,473
270,916
271,934
272,343
273,440
274,595
275,267
276,89
277,618
278,957
279,929
280,759
281,378
282,593
283,985
284,995
285,410
286,683
287,630
288,536
289,218
290,240
291,97
292,379
293,386
294,162
295,229
296,489
297,533
298,477
299,605
300,906
301,129
302,152
303,501
304,509
305,373
306,942
307,706
308,1028
309,31
310,697
311,155
312,114
313,73
314,207
315,450
316,102
317,586
318,606
319,907
320,399
321,485
322,335
323,781
324,457
325,948
326,20
327,833
328,544
329,859
330,901
331,767
332,900
333,247
334,861
335,166
336,748
337,98
338,582
339,81
340,391
341,413
342,870
343,500
344,976
345,443
346,1002
347,622
348,395
349,1033
350,1009
351,848
352,400
353,53
354,258
355,192
356,115
357,349
358,191
359,318
360,954
361,569
362,120
363,324
364,288
365,291
366,793
367,819
368,590
369,75
370,1012
371,495
372,881
373,716
374,141
375,37
376,686
377,609
378,1050
379,4
380,1042
381,63
382,666
383,733
384,208
385,412
386,802
387,65
388,244
389,234
390,181
391,481
392,596
393,727
394,615
395,0
396,1004
397,33
398,319
399,943
400,526
401,711
402,1043
403,560
404,764
405,879
406,776
407,76
408,150
409,134
410,659
411,680
412,316
413,68
414,788
415,542
416,809
417,558
418,383
419,991
420,643
421,479
422,360
423,634
424,550
425,430
426,986
427,646
428,673
429,469
430,144
431,414
432,92
433,745
434,669
435,54
436,101
437,768
438,94
439,434
440,61
441,904
442,195
443,818
444,974
445,435
446,393
447,30
448,475
449,455
450,568
451,447
452,831
453,552
454,671
455,978
456,372
457,341
458,514
459,135
460,1001
461,641
462,48
463,652
464,835
465,3
466,494
467,583
468,853
469,397
470,121
471,667
472,468
473,821
474,728
475,563
476,1030
477,775
478,527
479,735
480,1016
481,988
482,594
483,723
484,392
485,512
486,122
487,232
488,625
489,86
490,787
491,849
492,543
493,576
494,867
495,299
496,754
497,145
498,302
499,491
500,57
501,530
502,283
503,128
504,763
505,607
506,239
507,419
508,277
509,9
510,782
511,273
512,147
513,132
514,38
515,1000
516,1008
517,517
518,118
519,87
520,585
521,813
522,913
523,108
524,257
525,159
526,74
527,970
528,822
529,146
530,314
531,351
532,984
533,312
534,1027
535,280
536,19
537,701
538,139
539,213
540,977
541,547
542,817
543,322
544,785
545,845
546,51
547,116
548,808
549,965
550,627
551,254
552,58
553,534
554,670
555,713
556,261
557,910
558,2
559,535
560,971
561,640
562,387
563,215
564,890
565,337
566,850
567,225
568,836
569,428
570,483
571,546
572,493
573,11
574,471
575,487
576,565
577,453
578,795
579,980
580,631
581,773
582,285
583,305
584,237
585,105
586,611
587,363
588,742
589,837
590,878
591,8
592,164
593,575
594,757
595,983
596,896
597,80
598,366
599,660
600,10
601,156
602,834
603,824
604,658
605,732
606,278
607,993
608,722
609,540
610,211
611,938
612,968
613,721
614,358
615,499
616,844
617,263
618,905
619,439
620,810
621,403
622,645
623,452
624,69
625,866
626,941
627,632
628,951
629,614
630,820
631,482
632,841
633,84
634,231
635,740
636,981
637,119
638,175
639,56
640,345
641,761
642,672
643,715
644,935
645,679
646,731
647,348
648,209
649,829
650,623
651,556
652,572
653,417
654,165
655,398
656,897
657,367
658,730
659,374
660,880
661,949
662,553
663,95
664,884
665,421
666,490
667,496
668,334
669,251
670,654
671,497
672,1032
673,16
674,930
675,308
676,431
677,347
678,724
679,538
680,909
681,743
682,559
683,177
684,106
685,24
686,248
687,382
688,1046
689,140
690,67
691,384
692,570
693,1029
694,168
695,557
696,619
697,123
698,945
699,265
700,549
701,628
702,769
703,589
704,687
705,982
706,990
707,902
708,541
709,47
710,327
711,148
712,804
713,456
714,60
715,504
716,279
717,760
