idx,random_idx0,random_idx1,random_idx2,random_idx3,random_idx4,random_idx5,random_idx6,random_idx7,random_idx8,random_idx9
0,4673,8193,2015,1620,11124,2792,2763,3687,4907,9965
1,8847,4943,7700,4045,5430,5809,2248,6564,10370,386
2,5554,1711,1268,1411,11188,10742,6328,1891,1937,9248
3,9208,2687,11191,2758,8578,10274,10448,2396,5476,4819
4,337,9283,9089,878,3289,3300,9654,3714,7741,2289
5,1045,6912,6379,1656,9587,8298,5022,9627,9387,5030
6,6623,145,9769,6812,7614,6097,5121,8996,8352,10486
7,5105,725,6404,10004,3403,10503,1954,9134,4842,4544
8,7078,8314,9370,4133,3967,7133,595,6005,11299,956
9,8380,3871,7853,7406,8643,7976,10667,3057,4559,7845
10,10438,6843,2484,10889,10090,11227,5903,9826,8951,6541
11,4209,1305,1161,708,9246,5667,10505,6535,8824,11074
12,9132,8022,5852,8864,2575,7937,2363,622,6288,11124
13,7403,4619,228,9817,2198,1150,1307,9721,3468,533
14,11251,5677,8301,1865,7186,4134,9552,10107,10383,198
15,8643,350,1341,5026,9090,10712,2334,89,9966,5650
16,4508,775,8381,5743,8099,5235,4880,6304,6852,9179
17,8682,9311,6782,2125,7174,10406,129,7221,9020,451
18,752,1271,4117,8892,8262,4432,10552,5299,5839,2489
19,9474,924,2119,2777,6284,5685,10727,5647,10233,11270
20,7085,4305,7821,9497,6232,7744,5053,9966,710,11
21,4821,125,4255,3938,1184,3293,9146,456,9220,9618
22,1157,1866,2154,8401,7944,4190,3138,7000,5102,8143
23,4980,1888,1264,5133,6916,2513,9836,5117,7871,2958
24,7126,5843,10796,2173,1770,1972,942,229,5630,2867
25,7277,10979,8668,7146,9260,6606,1407,4881,76,1205
26,3699,9158,71,4701,2318,6321,8992,9983,10751,5010
27,3023,862,3636,11103,4875,2904,1958,63,11264,6038
28,9950,10863,8031,3935,10193,10786,927,7826,1253,3445
29,2935,7784,9310,9324,8607,5382,7113,3696,6431,2880
30,3616,7426,2903,6791,5753,10322,1892,6492,9947,5638
31,408,3579,724,1518,3392,1313,4105,2197,2929,1981
32,2400,9011,10777,7153,10712,4096,10125,7162,6780,1188
33,4945,6285,7356,2315,8157,5913,3348,887,8576,10627
34,8361,472,8937,1139,3075,7513,6110,929,3392,8815
35,5939,3136,4015,6273,8028,90,10457,6446,3755,5312
36,1351,8674,938,11213,1231,11285,2823,9180,7656,4479
37,741,8215,8553,3018,8175,9843,335,11394,2978,6770
38,6125,7269,8892,285,5638,7116,490,4097,10607,4493
39,5233,7800,4164,3640,1364,1389,5928,11079,11321,446
40,1815,9232,11237,194,1186,3132,4622,8494,5643,8905
41,2188,1207,2973,7234,5693,3518,2190,3097,10257,6152
42,3990,8647,6259,3139,3530,8016,6906,8397,7359,326
43,7658,10601,1452,2900,5368,3495,10395,7408,1104,4267
44,9205,2975,7636,7117,7663,1197,10808,9154,7397,3779
45,3986,26,7276,5778,10735,2812,5808,5092,10051,5765
46,8287,3868,7451,5029,8102,10198,10220,1728,7870,10145
47,1070,8592,7219,10099,10686,6554,5274,7467,3343,5148
48,2463,8277,7118,3943,70,4785,2596,8212,9136,9968
49,11152,370,8359,5212,4483,10920,8949,2724,7776,3086
50,3693,4444,2172,11351,1264,6779,2274,2237,2745,3541
51,9358,11385,6266,3536,11354,9978,10085,5015,7710,9739
52,6684,9153,10124,1833,1747,6228,4589,2143,7019,10949
53,5636,4791,8411,6332,10721,5225,1339,11293,687,6876
54,10238,7089,5745,2826,9531,5987,821,10588,2656,9469
55,639,6872,4319,11034,8049,10068,8386,6978,5593,1284
56,6967,4298,10812,9063,2294,457,4080,9224,4036,6256
57,2472,9841,9139,4508,4503,8186,3572,5610,7854,8287
58,3515,1152,4874,4770,3398,2742,649,11231,3351,3444
59,6332,1361,2764,7641,7612,7059,2224,4426,9270,256
60,2134,11360,5228,2093,8341,4925,5855,1296,2375,10647
61,1844,6205,6697,267,5935,1095,5451,6079,481,8051
62,6046,4873,8082,6887,8424,7847,1380,9907,10622,215
63,1015,7959,6661,10870,5471,10124,3652,1462,198,3527
64,656,9854,4244,11053,2580,9855,8596,1904,1264,4922
65,1443,2523,10396,9875,7047,2961,3736,2697,4940,1161
66,3656,8578,5868,7329,4946,4931,8905,6747,4270,11389
67,8582,3657,7293,5257,11126,8363,4626,9025,9774,8889
68,3252,6448,246,4469,9711,6115,8971,10859,7812,11243
69,6568,4155,6290,2516,7413,1966,4072,10781,8889,9442
70,6187,2919,271,1974,5811,8420,4922,5189,8762,10730
71,1484,3891,1485,6825,5060,10911,742,11141,9155,2957
72,9577,3215,9964,3922,7928,1391,4267,2618,2643,6206
73,9519,11136,2383,7564,2183,3504,2044,2490,1498,3734
74,2397,11063,3246,10803,1152,9975,770,3228,9835,7245
75,2962,443,9031,8219,9106,9001,1690,6353,5623,7818
76,11379,5925,3076,5230,1782,1597,10459,6812,1967,5023
77,530,10581,10135,10444,8929,485,4826,4185,815,10917
78,5895,5263,8672,4673,300,3303,3642,7801,4127,7911
79,973,11015,5280,5713,6665,9060,7198,10829,5458,7385
80,2538,9559,4911,10814,10988,8738,9009,10726,2169,3431
81,4166,1266,10046,1214,9249,11194,8403,7645,2926,8701
82,3824,1358,5099,5953,2566,7158,8121,3060,1639,5524
83,3837,8631,5734,5002,7168,3270,7224,8201,1606,10021
84,2646,8690,6340,5206,1891,5741,4096,37,3243,2292
85,4576,4268,9954,5365,10104,8013,6699,8871,674,252
86,9931,906,5981,4554,5032,4182,1284,8846,8614,2956
87,7246,10092,9944,9119,2418,7722,2580,5262,149,6715
88,1871,5898,8326,860,10073,4984,1071,871,2988,9311
89,4863,1519,7231,2325,10016,4896,10407,3730,859,8443
90,2215,562,3597,8255,8200,9436,6579,10049,2079,1237
91,7930,158,5729,9608,2626,1891,1353,3190,33,4949
92,6865,1633,10883,658,7961,5897,1976,3903,3244,1606
93,1581,3649,10150,9167,632,352,2466,3869,9226,9340
94,2927,10009,10170,4334,290,8525,3165,9350,3722,6988
95,10314,2774,10785,8749,8894,9474,2084,1562,1571,11304
96,463,9110,8053,9365,6270,224,7359,7567,5516,9431
97,9978,4073,301,10546,1399,3222,7622,7785,6374,1721
98,2462,10616,9937,11264,6471,7799,10040,10411,3709,5008
99,7967,5153,11398,9545,6662,9237,726,7100,6001,9279
100,3434,8483,7921,3997,10899,5502,5758,6488,8044,6743
101,5565,1483,9007,1064,8683,9951,1469,6014,6608,9466
102,1947,460,2324,10481,6943,10313,5258,3183,2781,3785
103,2878,2791,4239,6434,768,2212,11163,1153,5021,10386
104,7978,10580,5344,87,1776,4665,6740,2074,4948,6977
105,3117,10870,10408,1576,8348,509,5649,3631,10039,834
106,10160,1586,11027,4194,5335,7135,4414,1128,1680,3630
107,5247,5893,7159,858,5337,3937,4670,1469,10084,10880
108,3460,10560,3889,831,2498,10914,6975,6124,9754,10415
109,6615,1822,8113,11029,5313,1390,10649,5041,7814,8136
110,1265,9752,3094,8437,672,588,4008,8442,9005,3673
111,7720,954,2208,3405,3009,8382,7446,11050,416,8479
112,6778,2954,1171,3786,3868,6108,9935,11105,373,4144
113,6672,1512,5386,4213,9232,7474,10747,5924,5818,4457
114,4658,8082,11352,4070,10608,9713,8781,10404,10298,9791
115,3391,7001,3059,5905,1389,6106,9254,5733,8747,4659
116,2361,7908,1574,7436,6926,3596,10334,8642,1209,2278
117,6627,2451,3339,9740,10271,3647,8061,1998,7792,9078
118,3504,8513,5804,9918,1525,5549,4703,6467,7139,10797
119,4004,4104,10583,7528,11076,9997,3728,7101,6114,5989
120,10709,7870,2593,6285,916,3123,5661,64,3329,1064
121,8741,9815,6941,1470,4354,9196,4576,3684,4261,8372
122,4034,4421,4267,4782,7512,10216,9724,10128,5071,10394
123,5000,5482,5141,3003,4501,9944,7292,5400,8926,7130
124,6053,8950,9374,11004,9240,1514,9591,9022,8787,10283
125,4921,1566,7202,9151,2049,6776,5743,4512,4401,4085
126,527,2343,8943,3969,9751,7853,1986,6769,1349,2156
127,10897,9615,4917,2989,4009,8538,9315,8684,7301,2075
128,4,6707,8019,8688,8126,6614,7757,7766,6896,4860
129,10380,3165,1387,9929,5120,11100,1957,5442,7007,1979
130,5668,6628,7576,8681,10465,10543,2790,883,1405,6047
131,56,11107,5867,11009,3874,7202,5658,3046,1894,2347
132,7492,7082,6050,6185,7728,2632,4403,5789,3656,10330
133,8928,3525,3968,10226,4366,6160,4875,296,6807,492
134,2578,5444,10967,10964,5740,5355,3581,9923,9568,5017
135,10206,8182,11056,1836,10875,447,4320,2725,10736,2101
136,9344,5092,3674,2252,273,1394,6188,9452,8134,9794
137,10692,4778,8398,7464,2537,2129,1869,8252,10640,2478
138,2883,992,9078,9018,4803,6302,9166,11010,2817,6381
139,5622,10628,8169,10307,9776,11073,697,4969,7422,7862
140,6027,225,1881,6824,1507,7884,6889,10783,1601,6347
141,3798,4338,4973,1229,6230,5410,5078,661,7038,3065
142,9953,2414,9083,3190,4794,6612,4630,5288,7483,5930
143,3654,9805,1140,10722,5403,5816,6292,9737,4272,6306
144,10035,2367,8814,4915,751,3925,9595,1080,4215,11380
145,3313,10173,6990,3217,4207,2481,687,4754,10816,9865
146,5817,10448,7353,2636,9964,10328,3188,9575,476,6001
147,7592,5885,8006,4973,3575,9600,9164,2369,7243,7069
148,7070,4927,1409,3580,5544,6688,1582,562,6489,8739
149,2115,3930,1183,1308,9840,9128,908,3159,6272,9904
150,7887,8151,6947,471,9754,6138,6714,3513,8093,4617
151,9828,2580,4217,6726,5728,6146,1902,9209,5168,2072
152,2368,4823,7763,4206,7348,7416,11323,4011,1186,2020
153,2608,3753,389,4096,11164,2582,1916,5676,5757,248
154,9874,1145,378,9763,2571,2816,6030,7571,2859,10759
155,2609,4319,4799,11065,1206,5249,10122,158,10061,1647
156,6374,7600,9219,5288,7880,5313,5322,10661,6486,9070
157,9395,5486,3623,7098,6088,7460,4612,5511,9980,10433
158,911,4913,3487,2395,5675,8093,2870,10823,3734,9924
159,1422,779,9261,4322,3820,5191,9396,7995,5008,6328
160,3866,9265,5380,6509,8043,7070,7793,6018,4614,4456
161,2732,6658,11133,8567,10935,3145,9511,2850,3150,4501
162,195,1177,6391,7572,8539,6574,9885,7700,10201,10284
163,859,382,4723,513,7009,6617,10576,880,5642,2096
164,7255,159,10308,9251,10750,7260,336,3139,6087,9293
165,4364,8113,1681,9667,5493,1275,2228,313,6174,8901
166,383,6513,9051,2272,8564,6713,1633,8261,5006,8629
167,9806,10428,6450,4398,204,1637,3699,10444,11234,4033
168,1038,2338,11236,9116,4557,870,5778,10777,10829,7674
169,475,1958,11171,2979,1704,4759,7105,9992,10768,3843
170,5878,6565,803,559,15,9088,404,3198,6459,7129
171,5973,1268,10260,8271,1081,8408,10560,5611,824,4887
172,5662,1604,127,316,2098,1640,1777,4955,6310,1014
173,6497,1967,772,4721,8192,9311,7216,3585,7490,9418
174,2969,6213,6818,2652,5001,6273,8725,9567,6413,8217
175,6408,3085,2807,6621,6032,3763,8743,6703,2771,514
176,1008,7208,9099,1255,7736,8648,708,10993,6712,10681
177,8206,2093,5327,5612,1074,9111,2939,4624,5249,1102
178,6261,8362,1730,6508,5625,1508,387,2985,8843,9090
179,11324,4912,9849,678,6791,1325,8882,11011,2466,1401
