idx,random_idx0,random_idx1,random_idx2,random_idx3,random_idx4,random_idx5,random_idx6,random_idx7,random_idx8,random_idx9
0,47390,5618,14210,46970,4203,16369,24535,45204,45725,45885
1,38566,46218,39045,7253,22759,34401,28889,38471,45822,37471
2,32814,20226,40012,4854,27351,39165,25359,14516,25717,29860
3,41393,39492,27153,19041,33009,19822,21243,41228,955,23901
4,12564,17823,48976,18458,22756,28169,45851,36620,29824,12711
5,44226,19926,45511,36923,48641,33211,13237,37927,12122,2110
6,27289,42214,34622,26565,34079,48960,44969,19487,33410,44273
7,16712,7815,4038,6478,19515,20259,46752,17447,47108,28650
8,3320,44462,25356,44290,15144,15571,16722,7658,24557,35859
9,23936,18197,33506,25483,49330,46911,43620,39043,38635,3080
10,15603,25579,11328,48711,12767,8451,47421,45804,49608,8728
11,42387,26730,28980,9855,44160,17054,3009,40576,22793,12062
12,4906,43237,35781,25213,5957,35416,34912,30511,146,41882
13,40920,40322,845,5024,30064,1730,11155,3786,24715,7470
14,30519,463,37478,37684,9714,34623,6372,41347,39801,23552
15,33088,33302,9669,14731,32482,11749,6109,7268,17988,26066
16,18319,41913,38930,9463,26358,48094,49480,36500,34629,8327
17,41418,4874,21737,15360,44821,23352,43801,34839,6903,35246
18,33678,7212,38113,2959,32279,39606,15005,9711,31800,47146
19,948,12870,11196,20100,46918,20360,19108,46800,41211,23936
20,21624,39784,36274,12802,43008,41784,21603,25171,28395,33456
21,39831,35480,4612,13096,27819,10822,3213,11725,47424,8550
22,49430,1933,22996,26235,17119,47883,12576,15346,33303,19172
23,14661,18648,23324,29366,8606,8928,25863,16893,36832,16030
24,22646,25838,43181,44598,14882,33243,27126,27054,38579,5328
25,4297,15614,4173,48188,14061,43564,10809,41164,49282,24927
26,23141,13162,13931,38079,32977,12407,35153,34018,44823,15623
27,7794,10227,31299,32324,28294,12667,17662,31122,49840,42294
28,17507,5457,49747,47697,41556,2238,22023,17575,3418,37326
29,35580,35415,30366,12348,36015,25809,28827,15811,46891,26722
30,38539,16034,39743,2814,9777,37783,10816,19560,42740,16187
31,32468,22247,8067,15607,24168,48020,33780,43961,9896,21120
32,47457,19764,22253,32956,43871,2961,20016,18762,35982,17196
33,6861,24820,49426,12944,10386,3003,18989,14200,37309,3923
34,30237,28483,25920,37620,47188,33604,32920,46329,29184,19318
35,33379,42251,1811,43490,19361,36242,4721,46633,35324,16407
36,33232,41456,22960,24923,7451,38659,7279,5990,28479,7318
37,1743,47916,38858,6173,27539,35957,43160,30371,45202,8606
38,2522,46325,7645,25721,31149,23724,37567,24926,26415,38100
39,7132,23727,22343,33039,34344,21512,40711,38701,35012,11195
40,6525,12324,2739,46231,1429,20524,35212,475,13982,14927
41,45878,43966,18216,18396,23963,6733,33483,25710,45983,35205
42,34322,29303,28794,25301,15728,18774,36334,29276,3373,14368
43,41746,29353,25931,47702,25343,49160,16808,45094,34668,2925
44,9890,38351,28013,39511,9724,14581,10329,19364,881,39541
45,47486,7740,19135,29643,17757,25827,47520,12841,2695,37029
46,48148,24721,30289,7922,2987,14865,38377,40306,11560,44126
47,9,44781,31090,29656,6422,2627,34620,28281,4790,23311
48,30787,28140,14569,41302,2999,25129,16273,22024,39252,309
49,23316,1529,5051,42765,10928,25467,26525,16917,38206,12634
50,24471,6494,18659,17856,42687,3333,22233,33215,6369,46360
51,27645,26835,29382,344,41032,495,11062,40068,16003,32617
52,41354,43615,36231,34567,21330,27195,21021,37496,2122,44318
53,1540,33901,47899,32962,10594,33877,18179,1957,40411,276
54,49608,16858,8562,46738,30775,46953,10422,2607,40260,46277
55,17806,29135,33244,15074,26908,42820,30223,1745,44412,42616
56,7667,39493,8754,27455,14394,12877,44766,31830,43270,25775
57,19404,37615,26197,2734,404,44855,43560,46192,49749,12395
58,9202,39097,44406,35780,18810,20165,31489,8328,27135,11066
59,8266,33581,14203,32325,46874,8978,7783,1623,16590,39039
60,17470,16367,41229,10648,44376,8370,3880,31768,19189,18876
61,19391,8219,28760,3596,27009,6077,44984,5693,26760,1406
62,31553,6753,43115,38325,45048,44787,27145,43133,35099,4016
63,1683,24009,8166,24164,26443,3911,49128,40074,34446,36953
64,48950,17334,36478,22267,25486,12511,6409,21250,28963,9811
65,24954,33356,9881,41197,26882,36671,20515,39914,7035,46011
66,16070,31713,40388,33101,2842,36567,35088,31575,36720,29128
67,12087,49879,8311,36981,47486,23295,25787,41721,17908,26356
68,16906,7422,4491,28186,10218,8480,13103,4543,46977,15420
69,9456,30743,40954,18758,31868,24632,15327,8221,43213,38780
70,44025,25045,31272,17182,24324,49469,35618,2682,44934,29027
71,8456,32878,36282,5048,9904,43563,20081,35125,39085,43458
72,6958,3777,3253,48438,26045,8702,43906,18428,7054,43332
73,44159,2887,31420,41308,8423,49647,16735,7217,8227,11393
74,47388,25217,22777,5391,43334,14294,18238,42010,11616,8601
75,23791,28464,42705,34727,22541,27492,26737,28969,18788,46315
76,12909,47481,32844,35925,5071,9006,40335,8765,24174,38582
77,34835,28998,28061,20272,46755,49141,20192,44375,20558,5283
78,26,40500,45605,3773,14998,36950,22691,14425,30919,21968
79,49597,28328,27110,39224,34704,47231,1631,7725,9959,39977
80,19941,31398,5660,18739,14315,5502,16253,17347,3998,23248
81,36345,23156,936,565,29703,29515,15848,46748,6383,17780
82,11176,39786,4478,28998,14698,11759,42728,45978,18408,38631
83,24231,41464,28,10020,49911,27508,3785,23994,47440,9472
84,38451,19148,4505,30688,44393,41615,19951,38738,11987,15019
85,11073,48153,21373,29778,47947,208,30380,21814,37274,11499
86,2504,10127,23190,33487,14248,6367,21514,32371,3765,30010
87,7701,35556,43508,5717,48449,4971,4404,6757,26826,12076
88,5354,2964,36130,32597,48297,42092,26189,10305,26617,40366
89,1520,36306,107,9600,8808,25727,28042,42977,11218,46187
90,23849,35149,1488,42410,29987,17033,41855,33168,33873,6872
91,24589,41781,37765,3781,6485,24378,42582,37009,11992,8669
92,3133,17345,40493,23852,9121,34215,7044,4961,17534,10294
93,36900,3498,26078,8146,2678,45138,45699,32024,12199,35535
94,29118,35478,14027,13876,24154,279,19837,22736,39705,42949
95,38128,38020,47312,24534,28190,44629,27860,27161,27346,15469
96,3089,6348,34188,41252,38994,4846,11579,39795,25576,40523
97,6538,5434,44308,35999,23561,13038,20253,5760,49108,15890
98,21752,30670,13049,43305,9925,9844,5874,12892,23660,22655
99,48738,44733,25082,10631,28925,22943,9492,12275,13627,17386
100,5759,19761,20009,45110,39467,44438,17865,194,15582,16984
101,7426,3251,31866,34919,45070,12344,2662,16600,30225,23487
102,3940,12053,15795,5681,44919,43500,16686,47431,12237,44725
103,7006,816,18211,30682,16190,41500,35726,19642,26053,23756
104,8661,22260,21751,5188,6538,47926,6053,1337,18826,35780
105,35420,19525,38990,2153,40011,40336,42787,24768,40079,8445
106,11548,23369,39543,4171,43637,19430,39302,4814,28946,22722
107,48059,44398,23793,13783,26401,41247,20140,21388,12638,5917
